Date,oil
2021-07,422.96
2021-08,404.3077273
2021-09,413.7347619
2021-10,477.3352381
2021-11,480.6080952
2021-12,464.3413636
2022-01,524.257
2022-02,565.5931579
2022-03,623.5578261
2022-04,644.445
2022-05,672.2419048
2022-06,669.0742857
2022-07,595.6555
2022-08,655.5821739
2022-09,646.0304762
2022-10,701.4128571
2022-11,763.5480952
2022-12,715.8852381
2023-01,738.637
2023-02,717.1247368
2023-03,676.6169565
2023-04,710.7652632
2023-05,657.0363636
2023-06,662.707619
2023-07,693.284
