,stock,snp500,industry,oil,cci,bci
0,A,0.3706598097925943,0.10469886534917372,-0.5795180034391894,0.4726358417553783,0.4938045540346916
1,AAL,0.8330185155979682,0.19212773336457958,-0.752323769706464,0.7617159559702051,0.7617701264286403
2,AAP,0.3643247586961819,0.13010292961845846,-0.6330594762424439,0.8679854385926049,0.8633854256943013
3,AAPL,0.5579890341208151,0.193421585969422,-0.05969890244735793,-0.06057246368016505,-0.07294968549162362
4,ABBV,-0.6064070473705674,-0.07105936394040817,0.8348281403334097,-0.6213104790502196,-0.6722276303523872
5,ABC,-0.3444450895942151,-0.04522262788060613,0.8194314180369004,-0.8306370491662273,-0.8502299028486965
6,ABT,0.8429723237927534,0.12091338940741458,-0.8288908287929486,0.8949136571448306,0.8787513327563325
7,ACGL,-0.22136670819943327,-0.15990741824087373,0.6514737087619902,-0.8124499433323248,-0.83469931631957
8,ACN,0.925924671557955,0.2671832274315948,-0.8000552994576493,0.8179476905424907,0.816035718703854
9,ADBE,0.8863173197550468,0.26925335179295246,-0.901144532626883,0.7927981285413347,0.8089918981091898
10,ADI,0.4444451708672876,0.2177530989444344,-0.04074362802502133,-0.19428755632968311,-0.21753346679335417
11,ADM,-0.6547826737290423,0.12716263421404897,0.870627954571989,-0.6034255888124799,-0.6142028143224401
12,ADP,-0.27055174389078024,-0.007243472186639341,0.4536888142253894,-0.4162200588448212,-0.3882440371265803
13,ADSK,0.7288750760314264,0.2262565962600686,-0.8832922828138748,0.7462241494511498,0.776030942336486
14,AEE,-0.009915451621147734,0.17456595725741908,0.07759966691391318,0.13721722502696615,0.11251448956951919
15,AEP,-0.4568002590711129,0.19480726776212667,0.41938308343697844,-0.17381827214356024,-0.19177917757493165
16,AES,-0.2474897616773948,0.03609876742135537,0.20081486336517157,-0.18009927985528526,-0.15220788692844983
17,AFL,-0.23963561658233506,-0.0705280382162846,0.7334427074304315,-0.7372811366319341,-0.7591783613538412
18,AIG,0.23995983568874366,0.17075314509335585,0.16564143150848265,0.1119185499298454,0.0821987124727404
19,AIZ,0.2541480257789639,0.11887574991661057,-0.4941230816917392,0.7306902913859266,0.7325140697436375
20,AJG,-0.29556041844451714,-0.1799246322879391,0.7278822172298202,-0.8767398166236763,-0.8770292084151179
21,AKAM,0.7708770089029873,0.1748142240083945,-0.7367214489436534,0.8982589592374154,0.8936076741728615
22,ALB,-0.2949092416017055,-0.020702156935399715,0.15455290913600458,-0.16401927154259766,-0.11451087349383555
23,ALGN,0.8587515414579492,0.12482560377743994,-0.9306857278576348,0.846009392277701,0.8515286311268693
24,ALK,0.8368995609227293,0.190092414638679,-0.6800853722971921,0.7358232121210573,0.7371495630242552
25,ALL,-0.2919704657069325,0.09091793860073921,0.019805071535652006,0.2089940010156817,0.2178568135930928
26,ALLE,0.8202937416233558,0.22527761128288706,-0.7804080874648422,0.687328490523331,0.6913807623131445
27,AMAT,0.9424578534891233,0.3128929223346466,-0.6245399694860618,0.5500253139200957,0.5261274892619214
28,AMCR,-0.0800902993867783,0.06936131853660094,-0.32760442972149323,0.5242573560185243,0.5236917567792763
29,AMD,0.924563163442748,0.2912556004060608,-0.6901921156298279,0.6509426908488739,0.6320030584663967
30,AME,0.43728721471300275,0.2600038142300867,0.08829363918018225,-0.2743304731407978,-0.2903757132435533
31,AMGN,-0.7186238109400136,-0.06384313960130437,0.7626445346425661,-0.5844814551423196,-0.5902791759047459
32,AMP,0.18214686568820243,0.05111087343878814,0.37586115085891814,-0.40284849665071226,-0.4275424057538255
33,AMT,0.4681952998972146,0.5284164259202218,-0.7938684748610418,0.8580642572103457,0.8748146459428379
34,AMZN,0.8515662613053272,0.29019806567719325,-0.8865354224687038,0.8683143636199759,0.8877686833602275
35,ANET,0.09291721819689777,0.09599509894243229,0.475968102765385,-0.5766152490319937,-0.6077069617402845
36,ANSS,0.9263554458316996,0.3085240624707934,-0.7707002582261042,0.6186678397846119,0.611169039170508
37,AON,0.24333065861461145,-0.02738897368867156,0.29447533039300816,-0.40335860984447564,-0.4152050240478564
38,AOS,0.8929299914938005,0.24787803586982762,-0.567265161627062,0.4736640859050015,0.4408863836943687
39,APA,-0.683542925480914,0.5985299068474915,0.929158498388641,-0.6503278549211249,-0.6782351347271056
40,APD,0.2525942919678846,-0.00514118605136553,0.04525354225907389,-0.21536209012704205,-0.2200201759070108
41,APH,0.5788578077095151,0.2477181001227074,-0.11820955783088392,-0.037234540949538396,-0.04070783892819517
42,APTV,0.8210390358909062,0.3419958411540456,-0.8556408318472938,0.8187643934198651,0.8184725702618084
43,ARE,0.6516442838396166,0.6004538306525502,-0.7695237247543265,0.9295968977530564,0.924419593773391
44,ATO,-0.44257350606625906,0.18017908603576077,0.8168169037650472,-0.7281120132714023,-0.7604633450716681
45,ATVI,-0.11739192106325722,-0.08811557518306325,0.2842846678986842,-0.3644988589756502,-0.358049046722617
46,AVB,0.7811688710106107,0.6098798010875816,-0.7503198977148734,0.9005282240050098,0.892424967325337
47,AVGO,0.34384675181750773,0.15897712019856586,0.24024966351642824,-0.3633347524858038,-0.3910615592635039
48,AVY,0.6397753427568795,0.04835002725967009,-0.8059134643760684,0.6853418187976589,0.7137317152080745
49,AWK,0.7438716964088441,-0.07597533221453233,-0.8525481920825441,0.8096206977101844,0.8189328346212231
50,AXON,0.20296051016681402,0.2057459204918355,0.03028982609385663,-0.3033579956019473,-0.3050608791469028
51,AXP,0.7107275452160884,0.201227623368353,-0.3123758898339839,0.45743228241023204,0.4188033079232606
