Date,bci
2021-07,101.5292
2021-08,101.5604
2021-09,101.6527
2021-10,101.6682
2021-11,101.5707
2021-12,101.3418
2022-01,101.1467
2022-02,101.0244
2022-03,100.8362
2022-04,100.6124
2022-05,100.4043
2022-06,100.1265
2022-07,99.922
2022-08,99.74544
2022-09,99.5223
2022-10,99.32565
2022-11,99.17326
2022-12,99.06734
2023-01,98.98998
2023-02,98.94177
2023-03,98.90712
2023-04,98.90242
2023-05,98.88741
2023-06,98.85958
2023-07,98.84672
