stock,weight,sector
HAS,0.022077,Consumer Discretionary
HBAN,0.045656,Financials
HCA,0.148009,Health Care
HD,0.892748,Consumer Discretionary
HES,0.116127,Energy
HIG,0.060709,Financials
HII,0.023768,Industrials
HLT,0.11067,Consumer Discretionary
HOLX,0.050164,Health Care
HON,0.337083,Industrials
HPE,0.060648,Information Technology
HPQ,0.076176,Information Technology
HRL,0.031402,Consumer Staples
HSIC,0.027653,Health Care
HST,0.031842,Real Estate
HSY,0.087933,Consumer Staples
HUM,0.165343,Health Care
HWM,0.048955,Industrials
IBM,0.348126,Information Technology
ICE,0.171503,Financials
IDXX,0.112375,Health Care
IEX,0.044348,Industrials
IFF,0.043045,Materials
ILMN,0.077717,Health Care
INCY,0.032464,Health Care
INTC,0.387133,Information Technology
INTU,0.377177,Information Technology
INVH,0.053227,Real Estate
IP,0.03418,Materials
IPG,0.034501,Communication Services
IQV,0.109967,Health Care
IR,0.073516,Industrials
IRM,0.047406,Real Estate
ISRG,0.285378,Health Care
IT,0.071089,Information Technology
ITW,0.179392,Industrials
IVZ,0.019634,Financials
J,0.046879,Industrials
JBHT,0.044833,Industrials
JCI,0.109277,Industrials
JKHY,0.033404,Financials
JNJ,1.197456,Health Care
JNPR,0.023854,Information Technology
JPM,1.200985,Financials
K,0.043443,Consumer Staples
KDP,0.075461,Consumer Staples
KEY,0.028842,Financials
KEYS,0.075384,Information Technology
KHC,0.072854,Consumer Staples
KIM,0.033208,Real Estate
KLAC,0.18215,Information Technology
KMB,0.115283,Consumer Staples
KMI,0.092485,Energy
KMX,0.035685,Consumer Discretionary
KO,0.633815,Consumer Staples
KR,0.085352,Consumer Staples
L,0.032642,Financials
LDOS,0.035315,Industrials
LEN,0.083648,Consumer Discretionary
LH,0.050618,Health Care
LHX,0.094779,Industrials
LIN,0.500963,Materials
LKQ,0.036346,Consumer Discretionary
LLY,1.099077,Health Care
LMT,0.271474,Industrials
LNC,0.010841,Financials
LNT,0.034631,Utilities
LOW,0.352507,Consumer Discretionary
LRCX,0.247544,Information Technology
LUV,0.053632,Industrials
LVS,0.050158,Consumer Discretionary
LW,0.037439,Consumer Staples
LYB,0.06815,Materials
LYV,0.032873,Communication Services
MA,0.889368,Financials
MAA,0.044521,Real Estate
MAR,0.143809,Consumer Discretionary
MAS,0.035278,Industrials
MCD,0.56172,Consumer Discretionary
MCHP,0.122008,Information Technology
MCK,0.157431,Health Care
MCO,0.142375,Financials
MDLZ,0.268713,Consumer Staples
MDT,0.295557,Health Care
MET,0.107879,Financials
META,1.810112,Communication Services
MGM,0.037561,Consumer Discretionary
MHK,0.014085,Consumer Discretionary
MKC,0.057617,Consumer Staples
MKTX,0.023674,Financials
MLM,0.076143,Materials
MMC,0.252541,Financials
MMM,0.153265,Industrials
MNST,0.11811,Consumer Staples
MO,0.209596,Consumer Staples
MOH,0.048808,Health Care
MOS,0.037724,Materials
MPC,0.164969,Energy
MPWR,0.062046,Information Technology
MRK,0.716924,Health Care
MRNA,0.088403,Health Care
MRO,0.044459,Energy
MS,0.306069,Financials
MSCI,0.116748,Financials
MSFT,6.423429,Information Technology
MSI,0.126053,Information Technology
MTB,0.061126,Financials
MTCH,0.03391,Communication Services
MTD,0.074009,Health Care
MU,0.190888,Information Technology
NCLH,0.019821,Consumer Discretionary
NDAQ,0.046444,Financials
NDSN,0.034796,Industrials
NEE,0.36981,Utilities
NEM,0.084534,Materials
NFLX,0.511859,Communication Services
NI,0.028761,Utilities
NKE,0.359525,Consumer Discretionary
NOC,0.165442,Industrials
NOW,0.30263,Information Technology
NRG,0.023102,Utilities
NSC,0.132437,Industrials
NTAP,0.044557,Information Technology
NTRS,0.044447,Financials
NUE,0.112441,Materials
NVDA,2.804402,Information Technology
NVR,0.049354,Consumer Discretionary
