Date,cci
2021-07,101.9497
2021-08,102.0013
2021-09,102.0562
2021-10,102.0857
2021-11,102.0807
2021-12,101.9787
2022-01,101.8305
2022-02,101.6745
2022-03,101.4642
2022-04,101.2685
2022-05,101.0815
2022-06,100.7905
2022-07,100.4633
2022-08,100.1572
2022-09,99.88837
2022-10,99.71958
2022-11,99.62043
2022-12,99.5967
2023-01,99.62531
2023-02,99.63008
2023-03,99.61696
2023-04,99.55432
2023-05,99.47178
2023-06,99.38545
2023-07,99.319
