,stock,class,p_values
110,COP,decreasing/RTC,"[1.6668666447117175e-11, 7.793765632868599e-14]"
111,COST,no change/RTC,"[0.15786157549195545, 0.0]"
112,CPB,increasing/RTC,"[0.0, 3.714806240395774e-13]"
113,CPRT,increasing,"[0.0, 0]"
114,CPT,decreasing,"[0.0, 0]"
115,CRL,decreasing,"[0.025766669253553642, 0]"
116,CRM,increasing,"[4.6629367034256575e-15, 0.0006540069712210883]"
117,CSCO,increasing,"[0.0, 0.0]"
118,CSGP,decreasing/RTC,"[0.0004698104160396621, 0.0002741476686003441]"
119,CSX,no change,"[0.7666760806929538, 0.14266625819271117]"
120,CTAS,increasing,"[0.0, 0]"
121,CTLT,decreasing,"[0.0, 0]"
122,CTRA,decreasing,"[2.4069635173873394e-13, 0]"
123,CTSH,no change/RTC,"[0.38020645457856306, 1.354472090042691e-14]"
124,CTVA,decreasing,"[0.0, 0]"
125,CVS,decreasing,"[0.0, 0]"
126,CVX,decreasing,"[6.776589511758857e-09, 0]"
127,CZR,increasing,"[0.0074196112992486185, 6.217248937900877e-15]"
128,D,decreasing/RTC,"[0.0, 0.3419934777507483]"
129,DAL,increasing,"[8.354807956578725e-10, 1.4578821483368642e-08]"
130,DD,increasing,"[3.013145288832675e-13, 1.3322676295501878e-15]"
131,DE,increasing,"[0.00013258100328594757, 0]"
132,DFS,no change,"[0.2760970101921192, 0.24419829766055767]"
133,DG,decreasing,"[0.0, 0.01335833515910867]"
134,DGX,increasing,"[0.026598746349738134, 0.0005426028649757608]"
135,DHI,increasing,"[0.0, 0]"
136,DHR,decreasing,"[0.0, 0]"
137,DIS,decreasing,"[0.001182393161218931, 1.4564249584125832e-08]"
138,DLR,decreasing/RTC,"[1.0234413316823066e-10, 0.0]"
139,DLTR,no change,"[0.09191722627015153, 0]"
140,DOV,increasing,"[0.0, 0]"
141,DOW,increasing,"[4.778843987196524e-12, 0]"
142,DPZ,decreasing/RTC,"[7.713829575095588e-13, 0.0]"
143,DRI,increasing,"[0.0, 0.00018193153237366921]"
144,DTE,decreasing,"[0.0, 0]"
145,DUK,decreasing/RTC,"[0.00020337920897017803, 0.004444434136868569]"
146,DVA,no change/RTC,"[0.464497715590245, 1.003663818721634e-11]"
147,DVN,decreasing,"[0.0, 0]"
148,DXC,decreasing,"[2.9366941525887924e-05, 0]"
149,DXCM,increasing,"[0.0, 0]"
150,EA,increasing,"[0.02571655642656312, 0]"
151,EBAY,increasing,"[4.00270492484367e-06, 0]"
152,ECL,increasing,"[2.8962119591469104e-08, 1.333821941784663e-12]"
153,ED,increasing/RTC,"[0.01690645212475128, 0.002900680731397376]"
154,EFX,increasing/RTC,"[7.983832706059957e-09, 0.08850193237838311]"
155,EG,increasing/RTC,"[0.0, 0.13049942344216858]"
156,EIX,increasing,"[0.0, 0]"
157,EL,decreasing,"[0.0, 0]"
158,ELV,decreasing,"[0.0, 0]"
159,EMN,no change,"[0.7660120905922683, 0]"
160,EMR,no change/RTC,"[0.9276065444788433, 0.0]"
161,ENPH,decreasing,"[0.0, 0]"
162,EOG,decreasing/RTC,"[1.1999313447308424e-06, 9.281464485866309e-14]"
163,EPAM,decreasing/RTC,"[0.0, 0.03069371152948297]"
164,EQIX,increasing,"[0.0, 4.145195298121962e-11]"
165,EQR,decreasing/RTC,"[0.0, 4.103222083440272e-06]"
166,EQT,decreasing/RTC,"[0.0, 0.0]"
167,ES,decreasing/RTC,"[5.945910430682488e-12, 0.06048683688745271]"
168,ESS,decreasing/RTC,"[0.0, 2.4424906541753444e-15]"
169,ETN,increasing,"[0.0, 0.0]"
170,ETR,decreasing/RTC,"[1.4431023043215419e-09, 0.06540721666046934]"
171,ETSY,no change,"[0.6654289688464898, 0.6597034194901088]"
172,EVRG,decreasing/RTC,"[0.006045896372857129, 0.7543863836004356]"
173,EW,increasing,"[4.490409341029178e-06, 0]"
174,EXC,no change/RTC,"[0.2219318997987032, 5.109421505888889e-06]"
175,EXPD,increasing,"[0.0, 0]"
176,EXPE,decreasing/RTC,"[0.0009217370540950398, 6.884443903842907e-09]"
177,EXR,decreasing,"[0.0, 0]"
178,F,decreasing/RTC,"[1.1102230246251565e-15, 0.2128495211998369]"
179,FANG,no change,"[0.18767453303718673, 0]"
180,FAST,increasing,"[0.0, 1.184866889047953e-07]"
181,FCX,increasing,"[0.0, 0]"
182,FDS,decreasing,"[1.4703620543343732e-09, 0]"
183,FDX,increasing,"[0.0, 0]"
184,FE,no change,"[0.3294158581015907, 0.10226023003833129]"
185,FFIV,decreasing/RTC,"[0.0, 2.013056388250334e-12]"
186,FI,increasing,"[0.0, 0]"
187,FICO,increasing,"[0.0, 0.0]"
188,FIS,decreasing,"[0.0, 0]"
189,FITB,decreasing,"[0.0, 0]"
190,FLT,increasing,"[1.8252804157015134e-08, 4.440892098500626e-16]"
191,FMC,increasing/RTC,"[1.902685714361141e-05, 3.3306690738754696e-15]"
192,FOX,increasing,"[1.4965898924579335e-06, 0]"
193,FOXA,increasing,"[4.028533881195173e-05, 0]"
194,FRT,decreasing,"[0.0003730704549356201, 0]"
195,FSLR,increasing,"[0.0, 0]"
196,FTNT,increasing,"[0.0, 0.0001768202241150263]"
197,FTV,increasing,"[5.470902065840555e-05, 0.0]"
198,GD,decreasing,"[0.0, 0]"
199,GE,increasing,"[0.0, 0]"
200,GEHC,increasing,"[0.0, 0]"
201,GEN,decreasing/RTC,"[0.0, 0.0]"
202,GILD,increasing/RTC,"[3.58653409193721e-08, 0.8483670482138788]"
203,GIS,increasing/RTC,"[0.0, 0.0]"
204,GL,increasing,"[0.005862581696807423, 0]"
205,GLW,no change,"[0.44342004496499987, 0]"
206,GM,decreasing,"[0.0004560011287866317, 0]"
207,GNRC,decreasing/RTC,"[1.638689184346731e-13, 0.008974833096411006]"
208,GOOG,no change/RTC,"[0.38477445491575013, 3.57576350749067e-05]"
209,GOOGL,no change/RTC,"[0.3316029762501933, 1.972519306425724e-05]"
210,GPC,increasing/RTC,"[0.01232929691469753, 0.46892633430900066]"
211,GPN,decreasing,"[4.540634729455206e-05, 0]"
212,GRMN,increasing,"[0.0, 0]"
213,GS,no change,"[0.06808504925941383, 0]"
214,GWW,increasing,"[0.0, 0.0026393532634529926]"
215,HAL,increasing,"[0.0002774946888504104, 0]"
216,HAS,decreasing/RTC,"[0.0, 1.6016077353242508e-12]"
217,HBAN,decreasing,"[2.731148640577885e-14, 0]"
218,HCA,increasing,"[0.0, 0]"
219,HD,no change/RTC,"[0.7188664267086478, 0.0]"
220,HES,increasing,"[2.8777493721321434e-09, 0]"
221,HIG,increasing,"[1.3129217990570652e-06, 0]"
222,HII,decreasing/RTC,"[0.0, 1.1546319456101628e-13]"
223,HLT,increasing,"[0.0, 0]"
224,HOLX,increasing/RTC,"[0.0, 6.553504451534131e-05]"
225,HON,no change,"[0.9678915167074504, 0.4548358669385755]"
