,stock,class,p_values
476,WAB,increasing,"[6.927791673660977e-14, 0.0]"
477,WAT,no change/RTC,"[0.6754873104351369, 6.359579529657822e-12]"
478,WBA,decreasing,"[0.0005502774637522467, 6.751931812098988e-06]"
479,WBD,increasing,"[0.02235252934505172, 0]"
480,WDC,decreasing/RTC,"[0.001658108860649543, 2.530022035118762e-05]"
481,WEC,decreasing/RTC,"[0.007070675759410117, 0.8302575858244738]"
482,WELL,increasing,"[0.0, 0]"
483,WFC,decreasing,"[0.002661210320195506, 0]"
484,WHR,decreasing/RTC,"[1.176836406102666e-14, 0.004364918401432938]"
485,WM,no change,"[0.6483095151942089, 0]"
486,WMB,decreasing/RTC,"[0.0, 0.0]"
487,WMT,increasing,"[0.0, 0]"
488,WRB,decreasing,"[0.0, 0]"
489,WRK,decreasing,"[0.0, 0]"
490,WST,increasing,"[0.0, 1.2434497875801753e-14]"
491,WTW,increasing/RTC,"[7.55145501685206e-10, 0.07529847201121775]"
492,WY,decreasing/RTC,"[1.8922047868574765e-05, 1.4111134483130172e-10]"
493,WYNN,increasing/RTC,"[0.0, 0.5479411579513771]"
494,XEL,decreasing,"[0.011587993150381504, 3.550091776105546e-09]"
495,XOM,increasing,"[0.00028566623948012015, 0]"
496,XRAY,increasing,"[0.0, 0]"
497,XYL,increasing,"[8.569522869095181e-11, 0]"
498,YUM,increasing,"[0.0, 0]"
499,ZBH,increasing,"[0.0, 0]"
500,ZBRA,no change,"[0.8178598430639212, 0]"
501,ZION,decreasing,"[0.0, 0]"
502,ZTS,increasing,"[0.0, 0]"
