ticker
AAPL 
MSFT 
AMZN 
NVDA 
GOOGL 
TSLA 
GOOG 
META 
BRK-B 
UNH 
JNJ 
XOM 
JPM 
V 
LLY 
PG 
AVGO 
MA 
HD 
MRK 
CVX 
PEP 
ABBV 
KO 
COST 
ADBE 
PFE 
WMT 
MCD 
CSCO 
CRM 
TMO 
ACN 
BAC 
ABT 
NFLX 
ORCL 
LIN 
AMD 
CMCSA 
DIS 
DHR 
TXN 
WFC 
NEE 
VZ 
PM 
RTX 
BMY 
INTC 
NKE 
HON 
QCOM 
LOW 
SPGI 
INTU 
UNP 
UPS 
COP 
AMGN 
CAT 
IBM 
AMAT 
BA 
MDT 
SBUX 
ISRG 
GE 
DE 
NOW 
T 
MS 
PLD 
ELV 
GS 
LMT 
BLK 
MDLZ 
SYK 
AXP 
BKNG 
GILD 
ADI 
TJX 
ADP 
C 
MMC 
VRTX 
CVS 
AMT 
REGN 
LRCX 
CI 
CB 
ZTS 
SCHW 
BSX 
MO 
ETN 
SO 
TMUS 
PGR 
PYPL 
PANW 
FI 
BDX 
MU 
EQIX 
DUK 
AON 
CSX 
ITW 
SLB 
NOC 
CME 
CL 
SNPS 
KLAC 
APD 
EOG 
CDNS 
WM 
ICE 
TGT 
HCA 
ATVI 
SHW 
MCK 
HUM 
ORLY 
FCX 
CMG 
F 
EW 
MMM 
FDX 
MCO 
GM 
NXPI 
NSC 
EMR 
PNC 
ROP 
DXCM 
GD 
APH 
GIS 
PH 
MSI 
CCI 
MPC 
PXD 
FTNT 
KMB 
SRE 
AJG 
MCHP 
MNST 
MAR 
EL 
AZO 
USB 
PSA 
JCI 
ADSK 
ECL 
D 
TDG 
AEP 
TEL 
TT 
BIIB 
CTAS 
PSX 
CTVA 
OXY 
COF 
PCAR 
IDXX 
AIG 
TFC 
TRV 
EXC 
O 
CARR 
ADM 
VLO 
STZ 
MRNA 
IQV 
WELL 
NUE 
ON 
YUM 
HSY 
CPRT 
ANET 
DG 
HLT 
DHI 
MSCI 
AFL 
ROST 
SYY 
HES 
WMB 
LHX 
CNC 
DOW 
ROK 
OTIS 
AME 
SPG 
PAYX 
CSGP 
A 
MET 
CHTR 
XEL 
AMP 
NEM 
GWW 
VRSK 
PPG 
EA 
CMI 
KMI 
FAST 
ED 
CTSH 
ILMN 
FIS 
RMD 
BK 
VICI 
PRU 
DD 
DVN 
PEG 
LEN 
DLR 
ABC 
ZBH 
RSG 
BKR 
KR 
DLTR 
ODFL 
DFS 
CEG 
GEHC 
AWK 
KEYS 
ALL 
KHC 
MTD 
ANSS 
HAL 
VMC 
WEC 
URI 
PCG 
EFX 
DAL 
WST 
MLM 
IT 
PWR 
KDP 
ACGL 
XYL 
WBD 
APTV 
ALB 
EIX 
GLW 
GPN 
OKE 
AVB 
HPQ 
IR 
WTW 
FTV 
ES 
TSCO 
ALGN 
CDW 
STT 
CBRE 
SBAC 
TROW 
CAH 
CHD 
EBAY 
MKC 
DTE 
ULTA 
FANG 
MPWR 
WBA 
BAX 
GPC 
WY 
TTWO 
LYB 
HIG 
ENPH 
EQR 
HPE 
AEE 
RCL 
FE 
STE 
ETR 
LH 
LUV 
HOLX 
PODD 
VRSN 
DOV 
MTB 
FICO 
DRI 
IFF 
PPL 
CLX 
OMC 
INVH 
EXR 
LVS 
RJF 
TDY 
BR 
WAB 
FSLR 
COO 
CNP 
NVR 
CTRA 
VTR 
FLT 
BALL 
FITB 
EXPD 
ARE 
CMS 
UAL 
MAA 
PHM 
HWM 
STLD 
TER 
K 
NDAQ 
MOH 
ATO 
TYL 
SWKS 
PFG 
LW 
CAG 
SJM 
RF 
TRGP 
IRM 
NTAP 
GRMN 
CCL 
BBY 
BRO 
WAT 
FDS 
CINF 
DGX 
EXPE 
IEX 
PTC 
RE 
IPG 
AMCR 
NTRS 
J 
PAYC 
HBAN 
JBHT 
RVTY 
SNA 
CBOE 
ESS 
TSN 
EQT 
SYF 
MRO 
BG 
AES 
CF 
AKAM 
AXON 
LKQ 
ZBRA 
TXT 
AVY 
SEDG 
POOL 
FMC 
EVRG 
SWK 
LNT 
MGM 
CFG 
NDSN 
UDR 
KMX 
LYV 
TRMB 
EPAM 
MAS 
TAP 
PKG 
WDC 
VTRS 
TECH 
CPT 
MOS 
STX 
BF-B 
WRB 
JKHY 
HST 
HRL 
LDOS 
ETSY 
KIM 
MTCH 
INCY 
DPZ 
TFX 
L 
IP 
WYNN 
NI 
BWA 
CHRW 
APA 
HSIC 
PEAK 
AAL 
CE 
CRL 
GEN 
TPR 
ALLE 
QRVO 
MKTX 
CDAY 
PNR 
CZR 
JNPR 
ROL 
UHS 
GL 
EMN 
PNW 
CPB 
REG 
KEY 
FOXA 
AOS 
HII 
BBWI 
FFIV 
XRAY 
NRG 
CTLT 
NCLH 
PARA 
GNRC 
RHI 
BIO 
WHR 
HAS 
IVZ 
BXP 
NWSA 
BEN 
WRK 
AIZ 
FRT 
VFC 
DXC 
ALK 
SEE 
DVA 
CMA 
OGN 
MHK 
RL 
FOX 
AAP 
ZION 
LNC 
NWL 
NWS 
